PersonID,country,source,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,uniquenetworklocation,hand,religion,orientation,race,voted,married,familysize,major
15,US,2,2,143,228,3,5,6,1,6,5,3,2,7,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,2,1,1,34,2,1,1,1,1,60,1,3,2,Biology and Philosophy dual major
16,US,2,2,155,146,3,5,4,5,6,5,4,3,4,4,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,2,2,2,1,17,1,1,1,1,2,60,2,1,1,
17,US,2,1,148,108,1,7,5,7,1,6,5,4,1,3,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,2,2,19,2,1,1,7,1,60,2,1,2,criminal justice; sociology
18,GB,2,1,99,151,1,4,4,0,7,5,4,4,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,18,1,1,1,12,1,60,2,1,5,Hairdressing 
19,US,2,73,128,89,2,7,7,1,6,5,4,7,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,19,2,1,3,2,1,60,2,1,1,Computer Science
20,US,2,3,280,234,2,2,5,4,6,7,4,6,3,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,2,1,1,4,2,50,2,1,2,Business
21,US,2,2,182,123,7,1,3,6,6,1,7,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,2,1,15,2,1,1,4,1,60,2,1,5,
22,US,2,19,236,158,1,6,5,7,2,6,2,7,2,7,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,2,1,1,15,1,1,1,6,1,60,2,1,1,
23,CA,2,4,118,434,3,3,5,5,5,5,5,3,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,3,2,1,22,1,1,1,1,2,60,2,1,1,
24,EC,2,1702,223,230,1,5,5,6,3,6,5,3,3,5,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,2,2,19,2,1,1,4,1,70,2,1,3,psychology
25,AU,2,717,254,162,2,4,3,5,5,6,5,7,3,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,20,2,1,1,7,1,60,1,1,3,Civil Engineering
26,US,2,7,229,134,1,6,5,7,7,7,1,6,1,2,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,2,2,1,16,1,1,1,1,4,10,2,1,2,
27,US,2,325,323,162,4,1,7,7,7,2,6,5,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,2,1,15,1,1,1,7,1,60,2,1,3,Acting
28,US,2,1,209,365,7,3,1,7,7,1,5,7,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,16,1,1,3,7,2,60,2,1,1,
29,US,2,17,142,168,1,6,6,6,5,7,1,7,4,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,19,2,1,1,1,2,70,2,1,2,Biology
30,US,0,42,121,171,3,3,5,1,5,5,5,5,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,16,1,1,1,1,5,70,2,1,3,
31,US,2,14,147,122,5,6,4,6,6,6,5,3,2,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,2,19,1,2,1,8,1,70,2,1,2,
32,US,2,3,174,109,5,5,5,5,7,7,7,5,5,6,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,2,3,1,1,18,1,1,1,2,1,60,2,1,3,
33,US,2,19,139,147,6,1,2,0,5,6,7,6,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,42,2,1,1,6,1,60,1,1,4,teaching
34,CA,2,6,208,129,5,7,5,4,6,2,5,5,2,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,2,1,2,2,15,2,1,1,1,1,60,2,1,2,
35,FI,2,10,180,112,5,6,6,2,6,6,3,4,2,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,1,2,17,2,1,1,1,1,60,2,1,2,
36,ID,0,15,179,234,5,2,6,5,7,7,5,2,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,17,1,1,1,1,2,10,2,1,4,Hospitality
37,CA,0,137,145,114,5,5,2,6,7,5,7,3,2,7,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,21,2,1,1,4,2,70,2,1,3,History
38,FI,2,254,291,482,2,5,6,6,5,7,5,5,4,6,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,2,1,1,2,23,2,1,1,2,1,60,2,1,2,Statistics
39,AE,2,2,642,125,7,2,2,4,5,5,6,4,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,2,17,2,1,2,10,1,10,2,1,2,
40,,2,97,148,160,5,6,6,2,7,4,3,5,5,2,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,3,1,2,26,1,1,2,7,1,60,1,1,3,
41,ES,2,17,320,260,7,5,7,1,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,43,1,1,1,4,1,60,1,1,3,Biologyst
42,AU,0,176092,366,187,4,3,4,7,6,5,5,3,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,16,2,1,1,1,2,60,2,1,2,
43,US,2,2,97,123,2,4,3,6,2,6,4,5,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,2,1,17,2,1,1,2,2,60,2,1,2,
44,US,2,1223,151,88,5,7,2,5,5,6,5,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,16,2,1,1,1,2,60,2,1,2,
45,US,2,3,278,113,1,4,4,3,5,6,1,3,7,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,13,2,1,1,2,1,10,2,1,1,biology
46,US,1,5,156,138,1,5,7,6,5,7,7,1,6,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,2,1,35,1,1,1,1,1,60,1,2,2,Education 
47,ID,2,2,966,168,6,5,3,5,6,5,5,4,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,25,2,1,1,12,1,70,2,1,2,psychology
48,NI,2,2,165,267,3,6,4,7,4,4,6,5,2,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,2,2,16,1,2,1,4,3,70,2,1,2,business administration 
49,NI,2,2,165,168,5,4,4,6,4,4,6,5,2,5,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,2,2,16,1,2,1,4,3,70,2,1,2,business administration 
50,DO,2,2,229,165,4,6,5,6,6,4,4,2,3,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,2,2,24,2,1,1,1,1,60,2,1,4,Architecture
51,TR,2,7,545,234,2,2,3,1,7,7,3,7,7,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,3,2,16,1,1,1,10,3,60,2,1,1,
52,US,2,39,140,127,3,5,5,6,2,6,6,5,2,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,18,1,1,2,2,2,70,2,1,1,
53,DO,0,236,168,146,3,6,3,4,4,7,3,4,3,3,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,3,2,2,2,24,2,1,1,1,1,70,1,1,4,software engineering
54,US,2,5,173,193,3,5,2,7,5,3,4,6,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,1,1,1,12,1,60,2,1,1,
55,NO,2,8,299,79,1,5,6,2,4,6,2,2,6,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,2,23,2,1,1,1,2,60,2,1,4,
56,GR,2,1203,849,204,5,7,5,1,3,1,1,1,4,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,2,3,2,2,22,2,1,3,1,1,60,1,1,2,art history
57,US,2,9,242,186,4,5,6,6,4,5,6,4,5,3,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,3,3,2,1,61,2,1,2,4,1,60,1,2,2,education
58,GR,0,5,433,320,2,4,1,5,6,4,3,6,6,3,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,3,3,2,2,21,2,1,1,1,1,60,1,1,2,art theory
59,IN,2,2,135,145,5,2,1,2,7,6,6,7,4,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,1,2,20,2,1,1,2,2,10,2,1,3,Computer Science Engineering
60,US,2,11,176,169,4,5,6,5,7,5,3,6,6,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,1,1,23,2,1,1,12,1,60,1,1,2,Psychology&Philosophy
61,US,2,3,146,117,1,6,7,1,5,6,5,3,7,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,2,1,17,2,1,1,7,4,60,2,1,6,
62,MY,2,8,176,117,3,5,6,6,6,7,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,2,23,2,1,1,10,0,10,2,1,4,civil engineering
63,US,2,14,369,319,2,4,3,5,2,6,3,2,6,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,3,1,16,2,1,1,1,4,60,2,1,3,n/a
64,US,0,6,213,239,6,5,4,1,6,1,3,5,7,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,21,2,1,1,1,1,60,2,1,3,
65,US,0,131,192,171,5,7,2,6,6,6,2,7,1,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,3,2,2,26,1,1,1,1,2,50,1,1,2,Marketing
66,US,2,4,235,221,2,5,1,6,4,6,6,5,4,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,40,2,1,1,2,1,60,1,3,2,Business
67,US,2,5,221,183,7,4,6,1,6,3,4,2,6,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,18,2,2,1,7,1,30,2,1,2,
68,US,2,2,530,98,2,1,4,5,4,6,7,3,5,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,1,16,2,2,1,12,1,60,2,1,2,--
69,US,2,2,145,78,3,2,6,4,6,6,7,3,6,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,3,3,2,1,20,2,1,1,2,2,60,1,1,4,Psychology
70,DE,2,17,228,150,5,6,4,5,7,6,5,1,4,2,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,2,27,2,1,1,3,2,60,2,1,2,psychology
71,US,0,9,186,124,3,3,7,5,5,7,7,1,3,4,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,3,1,2,1,22,1,1,1,12,1,60,1,1,3,Psychology
72,US,0,100,3386,584,1,1,4,1,4,6,2,6,4,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,1,28,2,1,1,2,1,30,2,1,3,Biology
73,CA,2,3,121,113,6,5,3,7,7,6,7,7,2,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,2,2,2,2,17,2,1,1,10,2,10,2,1,2,
74,US,2,8,212,77,2,3,4,4,6,5,4,4,4,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,3,3,2,1,22,2,1,1,12,2,60,1,1,2,computer science
75,US,2,2,239,178,2,2,2,5,5,6,6,1,5,2,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,2,2,2,2,15,2,2,1,4,1,70,2,1,2,
76,US,2,2,159,364,3,3,4,7,3,7,5,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,15,2,2,1,7,1,60,2,1,3,
77,US,2,3,176,218,6,4,7,1,6,4,1,1,6,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,2,18,2,2,1,7,1,70,2,1,2,
78,US,2,6,172,124,5,2,7,5,5,3,7,2,5,5,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,3,2,1,60,2,1,1,4,1,60,1,1,2,Medical Technology
79,LK,2,6,148,190,2,7,4,6,4,2,2,3,2,5,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,3,2,2,18,1,1,1,12,2,70,2,1,2,Engineering 
80,GB,2,60,216,158,2,5,4,7,4,6,4,4,3,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,20,2,1,1,1,1,60,2,1,3,nutrition
81,BR,2,261,121,164,5,2,2,1,4,5,2,6,7,4,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,3,1,1,20,2,1,2,2,3,70,1,1,2,Law
82,US,2,5,159,73,7,6,3,6,4,1,7,5,3,2,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,2,1,14,2,1,1,4,1,70,2,1,6,
83,US,2,10,198,136,6,6,5,4,7,2,5,3,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,16,2,1,1,7,2,10,2,1,3,
84,US,2,103,613,58,1,6,5,3,5,5,1,3,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,14,2,2,1,1,4,10,2,1,2,
85,US,2,2,113,69,6,5,6,3,7,6,5,5,4,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,1,2,1,21,1,1,1,1,3,60,1,1,8,Classics and Philosophy
86,US,2,4,1342,194,4,4,6,7,6,7,5,4,4,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,2,3,2,2,15,2,1,1,4,2,70,2,1,3,
87,US,2,3,155,119,2,5,6,5,7,6,5,6,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,14,1,1,1,2,4,60,2,1,4,
88,US,2,22,151,153,1,3,5,6,6,7,2,7,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,3,1,1,17,1,1,1,1,1,30,2,1,3,physics
89,US,2,8,147,177,1,2,5,7,1,6,5,6,1,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,15,1,1,1,2,5,60,2,1,2,
90,US,2,2,155,118,6,4,6,0,5,4,5,5,4,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,18,1,1,1,1,1,30,2,1,2,
91,US,2,2,176,107,1,5,2,7,3,7,3,5,1,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,1,2,1,20,2,1,2,7,1,60,2,1,2,English
92,US,2,2,217,175,7,5,6,1,5,2,3,1,7,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,3,3,2,1,24,1,1,1,2,2,60,1,1,1,Architecture 
93,US,2,8,149,108,7,1,7,5,7,2,7,5,5,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,4,1,1,1,40,2,1,1,4,1,60,1,2,4,Theology
94,IN,2,7,163,162,1,1,4,7,4,7,7,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,37,2,1,1,8,1,10,2,3,2,
95,AR,2,592,198,164,2,6,1,7,1,5,2,6,7,6,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,1,2,22,2,1,1,1,1,60,2,1,3,CS
96,US,0,13,246,179,4,1,7,3,6,5,4,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,2,1,1,18,1,1,1,2,1,70,2,1,2,
97,KH,2,60,388,193,1,5,6,6,5,7,5,1,3,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3,2,2,1,23,2,1,1,6,3,60,1,1,3,English
98,US,2,42,1164,191,1,1,1,6,6,7,5,4,1,4,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4,2,1,1,46,1,1,1,6,1,60,1,3,3,English
99,US,2,6,225,160,6,6,3,5,7,3,6,3,3,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,57,2,1,1,4,1,60,1,2,12,Accounting
100,US,2,3874,165,606,1,1,7,5,4,7,7,1,7,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,1,1,26,2,1,2,2,1,60,2,1,1,Accounting
101,US,2,13,180,126,3,4,7,2,6,7,7,1,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,41,2,1,1,7,1,30,1,2,7,Psychology
102,GB,2,22,246,257,2,4,7,3,2,7,5,5,5,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,2,17,2,1,1,7,1,60,2,1,2,
103,BR,2,61,168,142,2,1,3,2,7,6,7,5,7,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,2,22,2,1,1,4,1,60,2,1,2,Literature
104,US,2,6,162,125,1,6,7,5,2,6,2,1,3,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,3,2,1,55,2,1,1,7,1,60,1,2,1,Microbiology
105,US,2,1,206,72,7,6,5,4,6,2,6,6,5,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,2,2,2,1,27,2,1,2,4,2,60,1,1,1,
106,US,0,31,176,181,3,5,6,6,7,2,6,6,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,19,2,1,1,2,1,10,1,1,3,Computer Science
107,AR,2,42,652,290,1,3,4,5,6,7,5,5,3,5,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,2,3,1,2,19,1,1,1,0,2,70,1,1,2,
108,US,2,3,644,243,4,5,7,7,4,7,7,1,1,5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,28,2,1,1,7,1,70,2,1,6,
109,US,2,5,198,84,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,2,3,2,2,19,1,1,1,12,5,70,2,1,1,
110,CA,2,6,134,131,6,3,6,2,7,2,7,3,7,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,23,2,1,1,4,1,10,1,1,1,Sociology
111,US,2,22,303,102,2,6,2,5,2,5,2,7,2,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,1,1,1,18,1,1,1,5,1,60,1,1,4,
112,TR,2,3,972,191,1,5,1,7,7,7,1,7,5,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,3,2,16,1,1,1,10,3,60,2,1,1,
113,US,2,2,398,180,1,3,7,6,5,7,3,4,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,1,1,16,1,1,3,1,2,70,2,1,2,
114,IT,2,15,487,374,5,6,2,5,7,4,7,6,1,2,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,2,3,2,2,22,2,1,2,4,1,60,1,1,2,
115,MK,2,12,381,268,2,6,3,7,2,6,6,6,3,5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,2,2,36,2,1,1,7,1,60,1,2,2,
116,US,2,3,235,243,1,1,5,4,2,7,6,7,6,5,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,1,18,1,1,1,1,2,70,1,1,2,
117,PT,2,1,189,85,6,5,3,7,7,2,6,5,2,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,2,25,1,2,1,1,1,60,2,1,1,Psychology
118,US,2,2,244,163,2,4,6,6,6,4,7,2,5,2,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,3,3,2,2,34,2,1,1,7,1,60,2,1,0,Dentistry
119,GR,2,23,130,125,6,2,3,5,6,1,7,2,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,4,3,2,2,30,1,1,1,7,1,60,1,1,1,
120,US,2,8,115,171,2,6,1,6,2,5,3,7,1,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,28,2,1,1,7,1,60,2,3,1,English
121,US,2,1,77,78,3,7,6,5,3,2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,3,2,1,15,2,1,1,4,4,60,2,1,5,T
122,BA,2,2,196,140,1,2,7,2,6,7,5,1,7,7,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,1,2,27,2,1,1,2,1,60,1,1,2,
123,US,2,99,111,103,1,5,6,5,6,7,4,5,2,4,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,2,1,1,16,2,1,2,2,3,10,2,1,1,Undecided
124,US,2,55,298,256,5,4,4,5,7,6,6,5,3,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,1,1,16,1,1,1,2,1,60,2,1,2,
125,US,2,2,665,70,6,5,6,6,7,3,6,2,5,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,4,1,2,1,36,2,1,2,1,1,60,2,1,2,Psychology
126,GB,2,1,121,96,2,3,3,5,5,4,5,7,3,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,2,1,1,2,1,60,1,1,2,
127,AU,2,18,159,78,2,1,5,5,5,6,6,5,4,5,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,2,2,1,32,2,1,1,1,4,60,1,1,1,Professional Writing
128,US,2,2,215,179,6,3,6,3,7,5,6,2,4,2,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,1,2,1,22,2,1,2,4,1,60,1,1,2,
129,US,1,27,364,272,3,5,6,7,5,7,1,5,2,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,40,1,1,1,12,1,60,2,2,2,Nursing
130,US,2,1963,192,79,4,3,4,5,7,6,5,4,2,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,3,1,18,2,1,1,2,2,60,2,1,3,Biology
131,US,2,2,137,153,5,7,7,5,6,5,2,7,2,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,18,1,1,1,2,1,60,2,1,3,
132,US,2,2,144,100,6,2,6,2,5,5,6,5,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,36,2,1,1,12,1,60,2,3,2,
133,RU,2,5,698,368,4,3,3,3,3,4,4,4,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,2,2,14,2,1,1,1,5,60,2,1,2,
134,US,2,5,240,96,6,5,2,6,5,5,6,2,2,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,16,2,1,1,4,1,60,2,1,4,
135,GB,2,13,152,67,6,3,5,5,6,5,5,3,5,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,1,25,2,1,1,1,1,60,2,1,2,philosophy
136,US,2,1,317,117,3,2,3,1,7,5,7,5,6,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3,2,1,1,20,2,1,1,2,1,60,1,1,4,Geology
137,IT,0,18,148,159,2,6,5,5,6,0,3,5,2,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,3,1,2,18,2,1,1,1,1,60,2,1,3,
138,IN,2,2,151,124,6,6,7,7,4,5,6,7,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,2,15,2,1,1,8,2,10,2,1,1,
139,GB,2,3,164,169,5,5,5,7,5,3,7,4,2,2,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,3,3,2,1,56,2,1,1,2,1,60,2,2,3,Italian/history of art
140,US,2,25,174,159,5,2,7,2,5,7,6,2,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,43,2,1,2,11,1,10,1,1,3,telecom
141,US,2,1,132,112,5,5,3,7,5,6,7,6,2,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,21,2,1,1,1,1,10,2,1,3,Psychology
